id,desc_tr
P0714,Şanzıman Yağı Sıcaklık Sensörü Devresi Yüksek Giriş
P0715,Şanzıman Yağı Sıcaklık Sensörü Devresi Aralıklı
P0716,Giriş/Türbin Hız Sensörü Devresi Arızası
P0717,Giriş/Türbin Hız Sensörü Devre Aralığı/Performansı
P0718,Giriş/Türbin Hız Sensörü Devresi Sinyal Yok
P0719,Giriş/Türbin Hız Sensörü Devresi Aralıklı
P0720,Tork Konvertörü/Fren Anahtarı B Devresi Düşük
P0721,Çıkış Hız Sensörü Devresi Arızası
P0722,Çıkış Hızı Sensör Aralığı/Performansı
P0723,Çıkış Hız Sensörü Sinyal Yok
P0724,Çıkış Hızı Sensörü Aralıklı
P0725,Tork Konvertörü/Fren Anahtarı B Devresi Yüksek
P0726,Motor Hızı Giriş Devresi Arızası
P0727,Motor Hızı Giriş Devresi Aralığı/Performansı
P0728,Motor Hız Giriş Devresi Sinyal Yok
P0730,Motor Devri Giriş Devresi Aralıklı
P0731,Yanlış Dişli Oranı
P0732,Dişli 1 Yanlış oran
P0733,Dişli 2 Yanlış oran
P0734,Dişli 3 Yanlış oran
P0735,Dişli 4 Yanlış oran
P0736,Vites 5 Yanlış oran
P0740,Yanlış vites oranını ters çevirme
P0741,Tork Konvertörü Debriyaj Devresi Arızası
P0742,Tork Konvertörü Kavrama Devresi Performansı veya Sıkışmış
P0743,Tork Konvertörü Kavrama Devresi Açık Sıkışmış
P0744,Tork Konvertör Kavrama Devresi Elektrik
P0745,Tork Konvertörü Kavrama Devresi Aralıklı
P0746,Basınç Kontrol Solenoid Arızası
P0747,Basınç Kontrol Solenoid Performansı veya Sıkışmış
P0748,Basınç Kontrol Solenoidi Açıkta Sıkışmış
P0749,Basınç Kontrol Solenoid Elektrik
P0750,Basınç Kontrol Solenoidi Aralıklı
P0751,Vites Değiştirme Solenoidi A Arızası
P0752,Vites Değiştirme Solenoidi A Performansı veya Kapalı Kalmış/
P0753,1-2 Vites Değiştirme Solenoid Valfı Performansı
P0754,Vites Değiştirme Solenoidi A Sıkışmış
P0755,Vites Değiştirme Solenoidi A Elektrikli/
P0756,1-2 Vites Değiştirme Solenoidi Devresi Elektrik
P0757,Vites Değiştirme Solenoidi A Aralıklı
P0758,Vites Değiştirme Solenoidi B Arızası
P0759,Vites Değiştirme Solenoidi B Performansı veya Kapalı Kalmış/
P0760,2-3 Vites Değiştirme Solenoid Valfı Performansı
P0761,Vites Değiştirme Solenoidi B Açıkta Sıkışmış
P0762,Vites Değiştirme Solenoidi B Elektrikli/ 2-3 Vites Değiştirme Solenoidi Devresi Elektrik
P0763,Vites Değiştirme Solenoidi B Aralıklı
P0764,Vites Değiştirme Solenoidi C Arızası
P0765,Vites Değiştirme Solenoidi C Performansı veya Kapalı Kalmış
P0766,Vites Değiştirme Solenoidi C Açık Kalmış
P0767,Vites Değiştirme Solenoidi C Elektrik
P0768,Vites Değiştirme Solenoidi C Aralıklı
P0769,Vites Değiştirme Solenoidi D Arızası
P0770,Vites Değiştirme Solenoidi D Performansı veya Kapalı Sıkışmış
P0771,Vites Değiştirme Solenoidi D Açık Sıkışmış
P0772,Vites Değiştirme Solenoidi D Elektrik
P0773,Vites Değiştirme Solenoidi D Aralıklı
P0774,Vites Değiştirme Solenoidi E Arızası
P0775,Vites Değiştirme Solenoidi E Performansı veya Kapalı Sıkışmış
P0776,Vites Değiştirme Solenoid E Sıkışmış
P0777,Vites Değiştirme Solenoidi E Elektrik
P0778,Vites Değiştirme Solenoidi E Aralıklı
P0779,Basınç Kontrol Solenoidi B Arızası
P0780,Basınç Kontrol Solenoidi B Performansı
P0781,Basınç Kontrol Solenoidi B Açık Sıkışmış
P0782,Basınç Kontrol Solenoidi B Elektrik
P0783,Basınç Kontrol Solenoidi B Aralıklı
P0784,Vites Arızası
P0785,1-2 Vites Arızası
P0786,2-3 Vites Arızası
P0787,3-4 Vites Arızası
P0788,4-5 Vites Arızası
P0789,Vites Değiştirme/Zamanlama Solenoidi Arızası/ 3-2 Vites Değiştirme Solenoidi Devresi Elektriksel
P0790,Vites Değiştirme/Zamanlama Solenoid Aralığı/Performansı
P0801,Vites Değiştirme/Zamanlama Solenoidi Düşük
P0803,Vites Değiştirme/Zamanlama Solenoidi Yüksek
P0804,Vites Değiştirme/Zamanlama Solenoidi Aralıklı
P1100,Normal/Performans Anahtarı Devre Arızası
P1101,Ters Engelleme Kontrol Devresi Arızası
P1102,1-4 Vites Yükseltme (Vardiya Atlama) Solenoid Kontrol Devresi Arızası
P1103,1-4 Vites Yükseltme (Vardiya Atlama) Lambası Kontrol Devresi Arızası
P1104,MAF Sensörü Aralıklı / Tüm OBDII Sistemlerinin Kontrolü Tamamlanmadı
P1105,MAF Sensörü Otomatik Test Aralığının Dışında./
P1106,KOER Tamamlanamıyor KOER İptal Edildi
P1107,MAF Sensörü Aralık İçinde Ancak Beklenenden Düşük
P1108,MAF Sensörü Aralık İçinde Ancak Beklenenden Yüksek
P1109,MAF Topraklama Arızası
P1110,Çift Alternatör Üst Arızası
P1111,Çift Alternatör Alt Arıza/Manifold Mutlak Basınç (MAP) Sensör Devresi Aralıklı Yüksek Gerilim
P1112,Çift Alternatör Alt Devre Arızası/ Manifold Mutlak Basınç (MAP) Sensör Devresi Aralıklı Düşük Gerilim
P1113,Çift Alternatör Akü Lambası Devre Arızası
P1114,IAT - B Sensör Aralıklı
P1115,IAT Sensörü (D/C) Açık/Kısa
P1116,Emme Havası Sıcaklığı (IAT) Sensör Devresi Aralıklı Yüksek Gerilim
P1117,Emme Havası Sıcaklığı (IAT) Sensör Devresi Aralıklı Düşük Gerilim
P1118,IAT Sensörü Açık/Kısa
P1119,Motor Soğutma Suyu Sıcaklığı (ECT) Sensör Devresi Aralıklı Düşük Gerilim/IAT - B Devresi Düşük Girişi
P1120,Motor Soğutma Suyu Sıcaklığı (ECT) Sensör Devresi Aralıklı Yüksek Gerilim/IAT - B Devresi Yüksek Girişi
P1121,Motor Soğutma Suyu sensörü aralık dışında/ECT Sensörü Otomatik Test Aralığının Dışında
P1122,Motor Soğutucu Sensörü aralıklı/ECT Sensörü Aralıklı
P1123,Manifold Mutlak Sıcaklık Devresi Düşük Girişi
P1124,Manifold Mutlak Sıcaklık Devresi Yüksek Girişi
P1125,Gaz kelebeği konum sensörü aralık dışında
P1126,Gaz Kelebeği Konumu (TP) Sensör Devresi Aralıklı Yüksek Gerilim
P1127,Gaz Kelebeği Konumu (TP) Sensör Devresi Aralıklı Düşük Gerilim
P1128,Gaz Kelebeği Konum Sensörü Aralık İçinde Ancak Beklenenden Yüksek
P1129,Gaz Kelebeği Konum Sensörü Otomatik Test Aralığının Dışında
P1130,Gaz kelebeği konum sensörü aralıklı
P1131,Gaz Kelebeği Konumu (Dar Aralık) Sensör Devresi Arızası
P1132,Egzoz Sıcak Değil
P1133,Giriş Isıtmalı O2 Sensörleri Değiştirildi
P1134,Aşağı Akım Isıtmalı O2 Sensörleri Değiştirildi
P1135,HO2S Anahtarının Eksikliği - Sınırda Uyarlanabilir Yakıt
P1136,HO2S Anahtarının Eksikliği - Sensör Zayıflığı Gösteriyor
P1137,HO2S Anahtarının Eksikliği - Sensör Zenginliği Gösterir
P1138,HO2S Yetersiz Anahtarlama Sensörü 1
P1139,HO2S Geçiş Süresi Oranı Sensörü 1
P1140,Pedal Konum Sensörü A Devresi Aralıklı
P1141,Fan Kontrol Devresi Arızası
P1142,HO2S Anahtarının Eksikliği - Sensör Zayıflığı Gösteriyor
P1143,HO2S12 Anahtarının Eksikliği - Sensör Zenginliği Gösterir
P1144,Yakıt Gösterge Devresinde Su Arızası
P1150,Yakıt Durumunda Su
P1151,Yakıt Kısıtlama Göstergesi Devre Arızası
P1152,Yakıt Kısıtlama Durumu
P1153,Hava Destekli Kontrol Valfı Aralığı/Performansı
P1154,Hava Yardımı Kontrol Valfı Devre Arızası
P1155,HO2S21 Anahtarının Eksikliği - Sınırda Uyarlanabilir Yakıt
P1156,HO2S21 Anahtarının Eksikliği - Sensör Zayıflığı Gösteriyor
P1157,HO2S21 Anahtarının Eksikliği - Sensör Zenginliği Gösterir
P1158,Sıra 2 Yakıt Kontrolü Yalın'a Kaydırıldı
P1159,Sıra 2 Yakıt Kontrolü Zengine Kaydırıldı
P1167,Alternatif Yakıt Kontrol Cihazı
P1168,Yakıt Seçim Anahtarı Arızası
P1169,HO2S22 Anahtarının Eksikliği - Sensör Zayıflığı Gösteriyor
P1170,HO2S22 Anahtarının Eksikliği - Sensör Zenginliği Gösterir
P1171,Yakıt Step Motor Arızası
P1172,Geçersiz Test
P1173,Yakıt Rayı Sensörü Aralık İçi Düşük Arızası
P1174,Yakıt Rayı Sensörü Aralık İçi Yüksek Arıza
P1175,ESO - Motor Kapatma Solenoidi Arızası
P1176,Rotor Sensör Arızası
P1177,Rotor Kontrol Arızası
P1178,Rotor Kalibrasyon Arızası
P1180,Kam Sensörü Arızası
P1181,Kam Kontrol Arızası
P1182,Kam Kalibrasyon Arızası
P1183,Senkronizasyon Hatası
P1184,( açık )
P1185,Yakıt Dağıtım Sistemi Arızası - Düşük
P1186,Yakıt Dağıtım Sistemi Arızası - Yüksek
P1187,Yakıt Kapatma Solenoidi Arızası
P1188,Motor Yağı Sıcaklık Devresi Arızası
P1189,Motor Yağı Sıcaklığı Otomatik Test Aralığının Dışında
P1190,FTS Yüksek - Yakıt Pompası Sıcaklık Sensörü Yüksek
P1191,FTS Düşük - Yakıt Pompası Sıcaklık Sensörü Düşük
P1192,Varyant Seçimi
P1193,Kalibrasyon Bellek Arızası
P1194,Pompa Hızı Sinyal Arızası
P1195,Kalibrasyon Direnci Aralık Dışında
P1196,Ana Hat Gerilimi
P1197,Harici Gerilim
P1198,EGR Sürücüsü Aşırı Akımı
P1199,ECU A/D Dönüştürücü
P1200,SCP HBCC Başlatılamadı
P1201,Anahtar Kapalı Gerilimi Yüksek
P1202,Anahtar Kapalı Gerilimi Düşük
P1203,Pompa Rotor Kontrolü Eksik Yakıt Doldurma
P1204,Yakıt Seviyesi Giriş Devresi Düşük
P1205,Enjektör Kontrol Devresi
P1206,Enjektör Devresi Açık / Kısa Devre - Silindir #1
P1209,Enjektör Devresi Açık / Kısa Devre - Silindir #2
P1210,Enjektör Devresi Açık / Kısa Devre - Silindir #3
P1211,Enjektör Devresi Açık / Kısa Devre - Silindir #4
P1212,Enjektör Devresi Açık / Kısa Devre - Silindir #5
P1213,Enjektör Devresi Açık / Kısa Devre - Silindir #6
P1214,Enjektör Kontrol Basınç Sistemi Arızası
P1215,Enjektör Kontrol Basıncı Beklenen Seviyenin Üzerinde
P1216,Enjektör Kontrol Basınç Sensörü İstenilen Üstü/Aşağısı
P1217,Krank Sırasında Enjektör Kontrol Basıncı Algılanamadı
P1218,Enjektör Devresi Arızasını Başlat
P1219,Pedal Konum Sensörü B Devresi Aralıklı
P1220,Pedal Konum Sensörü C Devresi Düşük Girişi
P1221,Pedal Konum Sensörü C Devresi Yüksek Girişi
P1222,Pedal Konum Sensörü C Devresi Aralıklı
P1223,CID Yüksek
P1224,CID Düşük
P1225,Seri Gaz Kelebeği Kontrol Sistemi Arızası
P1226,Çekiş Kontrol Sistemi Arızası
P1227,Çekiş Kontrol Çıkış Devresi Arızası
P1228,Pedal Talep Sensörü B Devresi Yüksek Girişi
P1229,Gaz Kelebeği Konum Sensörü B Otomatik Test Aralığının Dışında
P1230,İğne Kaldırma Sensörü Arızası
P1231,Kontrol Kılıfı Sensörü Arızası
P1232,Atık Kapağı Arızalı Kapatıldı (Aşırı Basınç)
P1233,Wastegate Açılamadı (Basınç Altında)
P1234,Ara Soğutucu Pompa Sürücüsü Arızası
P1235,Yakıt Pompası Düşük Hız Arızası
P1236,Yakıt Pompası İkincil Devresi Düşük
P1237,Yakıt Pompası Hızı Birincil Devre Arızası
P1238,Yakıt Pompası Sürücü Modülü Off Line
P1239,Yakıt Pompası Sürücü Modülü Off Line
P1240,Yakıt Pompası Kontrolü Aralık Dışında
P1241,Yakıt Pompası Kontrolü Aralık Dışında
P1242,Yakıt Pompası İkincil Devre Arızası
P1243,Yakıt Pompası İkincil Devre Arızası
P1244,Hız Yakıt Pompası Pozitif Besleme Arızası
P1245,Sensör Güç Kaynağı Arızası
P1246,Sensör Güç Kaynağı Düşük Girişi
P1247,Sensör Güç Kaynağı Yüksek Giriş
P1248,İkinci Yakıt Pompası Arızalı veya Toprak Arızası
P1249,Alternatör Yük Girişi Arızası Yüksek
P1250,Alternatör Yükü Girişi Arızalı Düşük
P1251,Alternatör Yük Girişi Başarısız
P1252,Turbo Takviye Basıncı Düşük
P1253,Turbo Takviye Basıncı Algılanamadı
P1254,Atık Kapısı Kontrol Vanası Performansı
P1255,PRC Solenoid Devre Arızası
P1256,Hava Karışımı Solenoid Devre Arızası
P1257,Pedal Korelasyonu PDS1 ve LPDS Yüksek
P1258,Pedal Korelasyonu PDS1 ve LPDS Düşük
P1259,Pedal Korelasyonu PDS2 ve LPDS Yüksek
P1260,Pedal Korelasyonu PDS2 ve LPDS Düşük
P1261,Pedal Korelasyonu PDS1 ve HPDS
P1262,Pedal Korelasyonu PDS2 ve HPDS
P1263,Pedal Korelasyonu PDS1 ve PDS2
P1264,PCM Sinyal Hatasına İmmobilizer
P1265,HIRSIZLIK Algılandı
P1266,Silindir #1 Yüksekten Alçak Tarafa Kısa
P1267,Silindir #2 Yüksekten Alçak Tarafa Kısa
P1268,Silindir #3 Yüksekten Alçak Tarafa Kısa
P1269,Silindir #4 Yüksekten Alçak Tarafa Kısa
P1270,Silindir #5 Yüksekten Alçak Tarafa Kısa
P1271,Silindir #6 Yüksekten Alçak Tarafa Kısa
P1272,Silindir #7 Yüksekten Alçak Tarafa Kısa
P1273,Silindir #8 Yüksekten Alçak Tarafa Kısa
P1274,İmmobilizer Kodu Programlanmadı
P1275,Motor Devri veya Hız Sınırlayıcısına Ulaşıldı
P1276,Silindir #1 Yüksekten Alçak Tarafa Açık
P1277,Silindir #2 Yüksekten Alçak Tarafa Açık
P1278,Silindir #3 Yüksekten Alçak Tarafa Açık
P1280,Silindir #4 Yüksekten Alçak Tarafa Açık
P1281,Silindir #5 Yüksekten Alçak Tarafa Açık
P1282,Silindir #6 Yüksekten Alçak Tarafa Açık
P1283,Silindir #7 Yüksekten Alçak Tarafa Açık
P1284,Silindir #8 Yüksekten Alçak Tarafa Açık
P1285,Enjeksiyon Kontrol Basıncı Aralık Dışında Düşük
P1286,Enjeksiyon Kontrol Basıncı Aralık Dışında Yüksek
P1287,Aşırı Enjeksiyon Kontrol Basıncı
P1288,IPR Devre Arızası
P1289,İptal Edilen KOER - ICP Arızası
P1290,Silindir kapağının aşırı sıcaklığı algılandı
P1291,Yakıt Nabzı Aralık İçinde Ancak Beklenenden Düşük
P1292,Yakıt Nabzı Aralık İçinde Ancak Beklenenden Yüksek
P1293,Silindir Kafası Sıcaklık Sensörü Otomatik Test Aralığının Dışında
P1294,Silindir Kafası Sıcaklık Sensörü Yüksek Girişi
P1295,Silindir Kafası Sıcaklık Sensörü Düşük Girişi
P1296,Enjektör Yüksek Tarafı GND veya VBATT'a Kısa - Sıra 1
P1297,Enjektör Yüksek Tarafı GND veya VBATT'a Kısa - Sıra 2
P1298,Enjektör Yüksek Tarafı Açık - Sıra 1
P1299,Enjektör Yüksek Tarafı Açık - Sıra 2/Hedefe rölantiye ulaşılamadı
P1300,Çoklu arızalar - Sıra 1 - Düşük Yan Şortlu
P1301,Çoklu arızalar - Sıra 2 - Düşük Yan Şortlu
P1302,Enjektörün Yüksek Tarafları Birbirine Kısa Devre Yapmış
P1303,IDM Arızası
P1304,Silindir Kafası Aşırı Sıcaklık Koruması Aktif
P1305,Kalibrasyon Arızasını Artırma
P1306,Kalibrasyonu Yüksek Artırın
P1307,Kalibrasyonu Artırın Düşük
P1308,EGR Kalibrasyon Arızası
P1309,EGR Kalibrasyonu Yüksek
P1313,EGR Kalibrasyonu Düşük
P1314,Kickdown Rölesi Çekme Devresi Arızası
P1315,Kickdown Rölesi Tutma Devresi Arızası
P1316,Klima Kavrama Devresi Arızası
P1317,Tekleme Monitörü AICE Çip Arızası
P1336,Tekleme Oranı Katalizör Hasarı Arızası - Sıra 1
P1340,Tekleme Oranı Katalizör Hasarı Arızası - Sıra 2
P1341,Sürekli Tekleme
P1345,Enjektör Devresi / IDM Kodları Algılandı
P1346,Enjektör Devresi / IDM Kodları Güncellenmedi
P1347,Krank / Kam Sensörü Aralığı / Performansı
P1348,Eksantrik Mili Konum Sensörü B Devresi Arızası
P1349,Eksantrik Mili Konum Sensörü B Aralığı / Performansı
P1350,SGC (Eksantrik Pozisyonu) Sensör Devresi Arızası/ Krank Mili Pozisyonu - Eksantrik Mili Pozisyonu Korelasyonu
P1351,Yakıt Seviye Sensörü B Devresi Arızası
P1352,Yakıt Seviyesi Sensörü B Menzili / Performansı
P1353,Yakıt Seviye Sensörü B Devresi Düşük
P1354,Yakıt Seviye Sensörü B Devresi Yüksek
P1355,Yakıt Seviye Sensörü B Aralıklı/Bypass Hattı Monitörü
P1360,IDM Giriş Devresi Arızası/ Ateşleme Bobini Kontrol Devresi Yüksek Gerilim
P1361,Ateşleme Bobini A Birincil Devre Arızası
P1362,Ateşleme Bobini B Birincil Devre Arızası
P1363,Ateşleme Bobini C Birincil Devre Arızası
P1364,Ateşleme Bobini D Birincil Devre Arızası
P1365,Ateşleme Bobini İkincil Devre Arızası
P1366,Ateşleme Kontrol (IC) Devresi Düşük Gerilimi
P1367,Ateşleme Bobini C İkincil Devre Arızası
P1368,Ateşleme Bobini D İkincil Devre Arızası
P1369,Ateşleme Bobini Birincil Devre Arızası
P1370,Ateşleme Bobini İkincil Devre Arızası
P1371,Ateşleme Yedek
P1372,Ateşleme Yedek
P1373,Ateşleme Yedek
P1374,Motor Sıcaklık Işığı Monitörü Arızası
P1375,Kıvılcım Testi Sırasında Yetersiz RMP Artışı
P1376,Ateşleme Bobini - Silindir 1 - Erken Aktivasyon Arızası
P1380,Ateşleme Bobini - Silindir 2 - Erken Aktivasyon Arızası
P1381,Ateşleme Bobini - Silindir 3 - Erken Aktivasyon Arızası
P1382,Krank Mili Konumu (CKP)/Ateşleme Bobini - Silindir 4 - Erken Aktivasyon Arızası
P1383,Ateşleme Bobini - Silindir 5 - Erken Aktivasyon Arızası
P1384,Ateşleme Bobini - Silindir 6 - Erken Aktivasyon Arızası
P1385,Tekleme Algılandı - Bozuk Yol Verisi Mevcut Değil
P1386,Değişken Kam Zamanlaması Aşırı İlerlemiş (Sıra #1)/ Tekleme Algılandı - BCM ile İletişim Yok
P1387,Değişken Kam Zamanlama Solenoidi #1 Devre Arızası
P1388,Değişken Kam Zamanlaması Aşırı Geciktirildi (Sıra #1)
P1389,VVT Solenoid A Arızası
P1390,Değişken Kam Zamanlama Solenoidi B Arızası
P1391,Değişken Kam Zamanlaması Aşırı Gelişmiş (Sıra #2)
P1392,Değişken Kam Zamanlama Solenoidi #2 Devre Arızası
P1393,Değişken Kam Zamanlaması Aşırı Geciktirildi (Sıra #2)
P1394,Kızdırma Bujisi Devresi Yüksek Taraf Düşük Giriş
P1395,Oktan Pimi Kendi Kendine Test Aralığının Dışında Ayarlayın
P1396,Kızdırma Bujisi Devresi Düşük Girişi (Sıra #1)
P1397,Kızdırma Bujisi Devresi Yüksek Girişi (Sıra #1)
P1398,Kızdırma Bujisi Devresi Düşük Girişi (Sıra #2)
P1399,Kızdırma Bujisi Devresi Yüksek Girişi (Sıra #2)
P1400,Kızdırma Bujisi Monitörü Arızası (Sıra #1)
P1401,Kızdırma Bujisi Monitörü Arızası (Sıra #2)
P1402,Sistem Gerilimi Otomatik Test Aralığının Dışında
P1403,VVT Solenoid B Devresi Yüksek Girişi
P1404,Kızdırma Bujisi Devresi Yüksek Taraf
P1405,DPFE Devresi Düşük Girişi
P1406,DPFE Devresi Yüksek Girişi
P1407,EGR Ölçüm Deliği Kısıtlı
P1408,DPFE Sensör Hortumları Ters Çevrilmiş
P1409,IAT - B Devre Arızası/ Egzoz Gazı Devridaimi Kapalı Pozisyon Performansı
P1411,DPFE Sensörü Giriş Hortumu Kapalı veya Tıkanmış
P1413,Egzoz Gazı Devridaimi (EGR) Konum Sensörü Performansı
P1414,EGR Akış Algılanmadı
P1415,EGR Akışı Kendi Kendine Test Aralığının Dışında
P1416,EVR Kontrol Devresi Arızası
P1417,SAI Sisteminde Yanlış Aşağı Akış Algılandı
P1418,SAI Sistem Monitörü Devresi Düşük Girişi
P1419,SAI Sistem Monitörü Devresi Yüksek Giriş
P1420,Hava Pompası Devresi Arızası/ (HAVA) Sistem Sıra 1
P1421,Liman Hava Devresi Arızası/ (AIR) Sistem Sıra 2
P1422,Liman Hava Tahliye Devresi Arızası
P1423,Bölünmüş Hava #1 Devre Arızası
P1424,Bölünmüş Hava #2 Devre Arızası
P1425,Katalizör Sıcaklık Sensörü Arızası
P1426,Katalizör Hasarı
P1427,EGI Sıcaklık Sensörü Arızası
P1428,EGI İşlevsellik Testi Başarısız
P1429,EGI Kızdırma Bujisi Birincil Arızası
P1430,EGI Kızdırma Bujisi İkincil Arızası
P1433,EGI Mini - MAF Aralık Dışında Başarısız Oldu
P1434,EGI Mini - MAF Arızalı Kısa Devre
P1435,EGI Mini - MAF Arızası Açık Devre
P1436,Elektrikli Hava Pompası Birincil Arızası
P1437,Elektrikli Hava Pompası İkincil Arızası
P1438,Klima Soğutucu Akışkan Sıcaklığı Devresi Düşük
P1439,Klima Soğutucu Akışkan Sıcaklığı Devresi Yüksek
P1440,Klima Soğutucu Akışkan Sıcaklığı Devre Aralığı/Performansı
P1441,Klima Evaporatör Hava Sıcaklığı Devresi Düşük
P1442,Klima Evaporatör Hava Sıcaklığı Devre Aralığı/Performansı
P1443,Zemin Sıcaklık Anahtarı Devre Arızası
P1444,Boşaltma Valfi Açık Sıkışmış
P1445,Buharlaşmalı Emisyon (EVAP) Sistem Akışı Sadece Tahliye Olmayan Chevrolet Sırasında
P1446,Yalnızca Oldsmobile'de Tahliye Olmayan Sırada Evaporatif Emisyon (EVAP) Sistem Akışı
P1447,Evaporatif Emisyon Kontrol Sisteminde Kaçak Tespit Edildi
P1448,Evaporatif Emisyon Kontrol Sistemi Kontrol Vanası
P1449,Temizleme Akış Sensörü Devresi Düşük Girişi
P1450,Temizleme Akış Sensörü Devresi Yüksek Girişi
P1451,Evaporatif Vakum Solenoid Devresi Arızası
P1452,ELC Sistemi Kapatma Valfi Akış Arızası
P1453,ELC Sistem 2 Arızası
P1454,Evaporatif Kontrol Solenoid Devresi Arızası
P1455,Yakıt Deposu Vakumunun Boşaltılması Yapılamıyor
P1456,Evap Emisyon Kontrol Sistemi Havalandırma Kontrol Vanası Devresi
P1457,Tanktaki Vakum Boşaltılamıyor
P1460,Yakıt Deposu Basınç Tahliye Valfi Arızası
P1461,Evaporatif Sistem Vakum Testi Arızası
P1462,Evap Emisyon Kontrolü Sistem Sızıntısı Tespit Edildi (Brüt Kaçak/Akış Yok)
P1463,Yakıt Deposu Sıcaklık Sensörü Devresi Arızası
P1464,Tankta Vakum Çekilemiyor
P1465,Tamamen açık gaz kelebeği klima kesme rölesi devresi
P1466,Klima basınç sensörü devre voltajı düşük
P1467,Klima basınç sensörü devre voltajı yüksek
P1468,Klima Basınç Sensörü Yetersiz Basınç Değişimi
P1469,Klima Talebi Otomatik Test Aralığının Dışında
P1470,Klima Röle Devresi Arızası
P1471,Klima Soğutucu Sıcaklık Sensörü/Devre Arızası
P1472,Klima Kompresörü Sıcaklık Sensörü Arızası
P1473,SSPOD Açık Devre veya Kapalı Devre Arızası
P1474,Düşük Klima Döngüsü Dönemi
P1475,Klima Döngü Süresi Çok Kısa
P1476,Elektrodrive Fan 1 Çalışma Arızası (Sürücü Tarafı)
P1477,Elektro Tahrikli Fan 2 Çalışma Arızası (Yolcu Tarafı)
P1478,Fan(lar) Kapalıyken Fan İkincil Yüksek
P1479,Düşük Fan Kontrolü Birincil Devre Arızası
P1480,Fan Rölesi (Düşük) Devre Arızası
P1481,Fan Rölesi (Yüksek) Devre Arızası
P1482,Ek Fan Rölesi Devresi Arızası
P1483,Soğutma Fanı Sürücü Arızası
P1484,Yüksek Fan Kontrolü Birincil Devre Arızası
P1485,Düşük Fan Açıkken İkincil Fan Düşük
P1486,Yüksek Fan Açıkken İkincil Fan Düşük
P1487,SCP
P1490,Fan Devresine Giden Güç Aşırı Akımı
P1491,Açık Güçten Toprağa VCRM
P1492,EGRV Devre Arızası
P1493,EGRA Devre Arızası
P1494,EGRHK Solenoid Devre Arızası
P1495,İkincil Hava Tahliye Solenoid Devresi Arızası
P1500,İkincil Anahtar Solenoid Devre Arızası
P1501,APLSOL Solenoid Devre Arızası
P1502,RCNT Solenoid Devre Arızası
P1503,SPCUT Solenoid Devre Arızası
P1504,TCSPL Solenoid Devre Arızası
P1505,Araç Hız Sensörü Aralıklı
P1506,Araç Hız Sensörü Otomatik Test Aralığının Dışında
P1507,Araç Hız Sensörü Aralıklı Arızası
P1508,Yardımcı Hız Sensörü Arızası
P1509,Boşta Hava Kontrol Devresi Arızası
P1510,Uyarlanabilir Klipste Boşta Hava Kontrol Sistemi
P1511,Boşta Hava Kontrolü Aşırı Hız Hatası
P1512,Rölantide Hava Kontrolü Düşük Hız Hatası
P1513,Rölanti Kontrol Sistemi Devresi Açık
P1514,Rölanti Kontrol Sistemi Devresi Kısa Devreli
P1515,Boşta Sinyal Devresi Arızası
P1516,Rölanti Anahtarı (Elektrik Kontrol Gaz Kelebeği) Devre Arızası
P1517,Emme Manifoldu Çalıştırıcısı Kontrolü (Sıra 1) Kapalı Sıkışmış
P1518,Emme Manifoldu Çalıştırıcısı Kontrolü (Sıra 2) Kapalı Sıkışmış
P1519,Yüksek Yük Nötr/Sürücü Arızası
P1520,Elektrik Akım Devresi Arızası
P1521,IMRC Giriş Hatası (Sıra 1)
P1522,IMRC Giriş Hatası (Sıra 2)
P1523,Emme Manifoldu Çalıştırıcısı Kontrolü (Açık Sıkışmış)
P1524,Emme Manifoldu Çalıştırıcısı Kontrolü (Kapalı Sıkışmış)
P1525,Emme Manifoldu Çalıştırıcısı Kontrol Devresi Arızası
P1526,Değişken Emme Solenoidi #1 Devre Arızası
P1527,Değişken Emme Solenoidi #2 Devre Arızası
P1528,IVC Solenoid Devre Arızası
P1529,Değişken Emme Solenoid Sistemi
P1530,Hava Bypass Valf Sistemi
P1531,Hava Bypass Sistemi
P1532,Isınma Solenoidi Devre Arızasını Hızlandırın
P1533,Yardımcı Gaz Kelebeği Valfı Solenoid Devresi Arızası
P1534,SCAIR Solenoid Devre Arızası
P1535,Klima Debriyaj Devresi Arızası
P1536,Geçersiz Test - Gaz Pedalı Hareketi
P1537,IMCC Devre Arızası
P1538,AAI Devre Arızası
P1539,Atalet Anahtarı Etkinleştirildi
P1540,Üfleyici Fan Hızı Devre Aralığı/Performansı
P1549,El Freni Anahtarı Devre Arızası
P1550,Emme Manifoldu Çalıştırıcısı Kontrolü (Sıra 1) Açık Sıkışmış
P1565,Emme Manifoldu Çalıştırıcısı Kontrolü (Sıra 2) Açık Sıkışmış
P1566,Klima Debriyaj Devresine Giden Güç Aşırı Akımı
P1567,Hava Baypas Valfı Devre Arızası
P1568,IMCC Devre Arızası
P1571,PSPS Kendi Kendini Test Aralığının Dışında
P1572,Hız Kontrol Komut Anahtarı Aralık Dışında Yüksek
P1573,Hız Kontrol Komut Anahtarı Aralık Dışında Düşük
P1574,Hız Kontrol Çıkış Devresi Sürekliliği
P1575,Hız Kontrolü Hızı Tutamıyor
P1576,Fren Anahtarı Arızası
P1577,Fren Pedalı Anahtarı Devre Arızası
P1578,Gaz Kelebeği Konumu Mevcut Değil
